"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"pointFromForeign_2014",18,1234,0.375739301419353,0.477945178709249,0.246458203620787,0.292647501868205,0.220181320084467,0,6.50008441668074,6.50008441668074,5.41837573183535,49.7973165643958,0.013605687920932
"pointChangeForeign",19,1234,0.01666357940119,0.453556691304801,0.00697815281601736,0.00762129304600824,0.140613202955155,-4.52091775001407,8.85257549567319,13.3734932456873,9.62887288177432,195.266628677465,0.0129114197009144
"pointFromForeign_2019",20,1234,0.392402880820543,0.645734186158844,0.252651717040738,0.300284159510658,0.238661481436858,0,13.0690826727067,13.0690826727067,11.2672740353127,183.944178720202,0.018382145501459
"pointcontributionFromForeign",21,1234,0.755712883330321,1.01631969811198,0.497584981440744,0.590854869811419,0.403248114888625,0,16.2627406568516,16.2627406568516,7.24513190172824,81.6398799024046,0.0289316207305428
"hispMale25_54overMale25_54_2014",22,1234,10.2538453710393,13.7716386665589,5.30170900358135,7.16316245062075,4.99333797097562,0,94.4113605130554,94.4113605130554,2.94739788203328,10.322490200591,0.392037886778279
"pointCHANGEhispPRIMEmale",23,1234,0.987454607825774,1.69520517867531,0.830558660016602,0.891927673723058,1.01370779507355,-7.95012782385112,20.303893637227,28.2540214610781,1.95218162491747,19.3764071530118,0.0482574856917533
"hispMale25_54overMale25_54_2019",24,1234,11.241299978865,14.4676090500282,6.07548296308633,8.03705594915006,5.39531253784832,0,99.0872388976654,99.0872388976654,2.87394802354767,9.78211705146623,0.411850108475479
"female22_29overFemale15_49_2014",25,1234,21.3344474707637,3.01029903600127,21.1290202705286,21.1777036683468,2.49200180528695,11.328125,36.471190318502,25.143065318502,0.646562767400896,1.84868978381795,0.085694324489528
"pointCHANGEpostGRADfertPREV",26,1234,1.16110007276022,2.35873563304391,1.09931045285248,1.14858039795302,1.70781628937116,-24.390243902439,16.2328506097561,40.6230945121951,-0.500338678229303,15.407448717463,0.0671462383988193
"female22_29overFemale15_49_2019",27,1234,22.4955475435239,2.77371132021377,22.3588514664426,22.4149553625542,2.13628455591627,0,36.2785862785863,36.2785862785863,0.102578678216759,5.40934864831287,0.0789593708372617
"whiteMALE45_54overMALE45_54_2014",28,1234,83.9957069380496,14.6790399360497,88.7284375398232,86.3999277579415,10.7546492341575,8.84615384615385,100,91.1538461538462,-1.62126247034309,3.01634617092763,0.417868921469519
"pointCHANGEpeakWHTmaleEARNERSprev",29,1234,-1.15392197912765,3.80063510702786,-1.15533091500349,-1.15240877816134,2.39092203983636,-27.0898538871675,24.5088386663683,51.5986925535359,-0.402945373661235,9.48785449376289,0.108192858660504
"whiteMALE45_54overMALE45_54_2019",30,1234,82.841784958922,15.084978922708,87.9200269817888,85.2167761024809,11.1400128236047,7.69230769230769,100,92.3076923076923,-1.51985781289298,2.51768961220132,0.429424805728731
